,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km
129,2025-04-29 19:15:13+00:00,34.606992,-98.422437,341.7,161.0,61,,1.0,1.2725391482683415,1.2725391482683415,1.2817581897894696,780.1783581068838
130,2025-04-29 19:15:14+00:00,34.606985,-98.422423,341.7,,61,,1.0,1.499186945433507,1.499186945433507,1.1463985150393146,872.2970126716415
131,2025-04-29 19:15:15+00:00,34.606981,-98.422417,341.7,,57,,1.0,0.706659493616389,0.706659493616389,1.0436750942130602,958.1525951369075
132,2025-04-29 19:15:16+00:00,34.606975,-98.422412,341.7,,54,,1.0,0.8090223041716286,0.8090223041716286,0.9967142663618581,1003.2965652735516
133,2025-04-29 19:15:17+00:00,34.606967,-98.422409,341.7,,52,,1.0,0.9309675795754347,0.9309675795754347,0.783286024050555,1276.672849119363
134,2025-04-29 19:15:18+00:00,34.606958,-98.422406,341.7,,52,,1.0,1.0377350090123312,1.0377350090123312,0.7111364597634147,1406.1998738367124
135,2025-04-29 19:15:19+00:00,34.606955,-98.422403,341.7,,49,,1.0,0.4320457338769913,0.4320457338769913,0.5493319989290889,1820.3927714924287
136,2025-04-29 19:15:20+00:00,34.606952,-98.422402,341.7,163.0,49,,1.0,0.3459116721806874,0.3459116721806874,0.381442668462049,2621.625955040458
137,2025-04-29 19:15:21+00:00,34.606952,-98.422402,341.7,,46,,1.0,0.0,0.0,0.19613465193234644,5098.538122396313
138,2025-04-29 19:15:22+00:00,34.606952,-98.422401,341.7,165.0,46,,1.0,0.09152092724023497,0.09152092724023497,0.10972550515694819,9113.65136637675
139,2025-04-29 19:15:23+00:00,34.606953,-98.422401,341.7,164.0,0,,1.0,0.11119492636381853,0.11119492636381853,0.07715154065578118,12961.503963499492
140,2025-04-29 19:15:24+00:00,34.606953,-98.422401,341.7,164.0,0,,1.0,0.0,0.0,0.248487247913169,4024.3513838160356
141,2025-04-29 19:15:25+00:00,34.606953,-98.422399,341.7,161.0,0,,1.0,0.1830418496748524,0.1830418496748524,0.468137479285853,2136.12463057969
142,2025-04-29 19:15:26+00:00,34.606949,-98.422391,341.7,,0,,1.0,0.8566785362869391,0.8566785362869391,0.8510394730688458,1175.0336284567425
143,2025-04-29 19:15:27+00:00,34.606949,-98.422378,341.7,157.0,0,,1.0,1.1897720841036548,1.1897720841036548,1.3983748290085096,715.1158468069899
144,2025-04-29 19:15:28+00:00,34.606947,-98.422356,341.7,155.0,79,,1.0,2.0257048952787824,2.0257048952787824,2.0727056945384374,482.46116302714455
145,2025-04-29 19:15:29+00:00,34.606941,-98.422327,341.9,154.0,79,,1.0,2.736676779698319,2.736676779698319,2.580927570668662,387.4575991068675
146,2025-04-29 19:15:30+00:00,34.606929,-98.422291,342.0,,81,,1.0,3.554696177324492,3.554696177324492,2.923903035566996,342.00860556447367
147,2025-04-29 19:15:31+00:00,34.606915,-98.422258,342.0,,80,,1.0,3.3977879169380625,3.3977879169380625,2.92869627276776,341.44885876299884
148,2025-04-29 19:15:32+00:00,34.606897,-98.422235,341.9,160.0,80,,1.0,2.904649408595326,2.904649408595326,2.7206628876287113,367.55748187221565
149,2025-04-29 19:15:33+00:00,34.606885,-98.422218,341.7,161.0,77,,1.0,2.0496710812825985,2.0496710812825985,2.3222993430518044,430.60770911895855
150,2025-04-29 19:15:34+00:00,34.606875,-98.422204,341.7,,72,,1.0,1.6965098540030779,1.6965098540030779,2.141196054157673,467.028695507937
151,2025-04-29 19:15:35+00:00,34.606865,-98.422192,341.7,,68,,1.0,1.562878454439958,1.562878454439958,2.238729676421382,446.6818886318172
152,2025-04-29 19:15:36+00:00,34.606853,-98.422169,341.6,,67,,1.0,2.4922714724674035,2.4922714724674035,2.6313198126724293,380.03742273516224
153,2025-04-29 19:15:37+00:00,34.606834,-98.42214,341.6,156.0,67,,1.0,3.3923175199138735,3.3923175199138735,3.0902761993160417,323.5956709051851
154,2025-04-29 19:15:38+00:00,34.606816,-98.422102,341.7,156.0,67,,1.0,4.012621762537835,4.012621762537835,3.629408704985861,275.52697458025625
155,2025-04-29 19:15:39+00:00,34.606797,-98.422065,341.7,,68,,1.0,3.99129178722114,3.99129178722114,3.925933944250425,254.7164608983071
